Ano_Solicitud,ID_SGI,Zona,HUB,Comuna,Clave,Cuadrantes,Cantidad_N,Fecha_Solicitud,Year,Mes,W_Solicitud,OBS_Solicitud,Tipo_Solucion,Clientes_Afectados,Estado_Ejecucion,Sol2,Fecha_Cancelado,Tipo_de_Red,Estado_Design_Simplificado,Fecha_Design,Asignacion_Energía,Obras_Complementarias,Estado_Asignación_Energía,Estado_Ejecucion_2,Fecha_Ejecucion,Year_Ejecucion,MES_Ejecucion,Semana_Ejecucion,EPS,Fecha_Comunicacion_EPS,Responsable,Motivo,KPI_DESIGN,KPI_EJECUCION,Estado_CaPO,Fecha_Estado,Observaciones_CaPO,Horas_95,Horas_90,Zona_Roja,Clase_Zona_Roja,Mes_Sol,Mes_Ejecucion_2,Year_2022
2021,552020,SUR,CURI,CURI,CURI72,Q1,,28-Oct-21,2021,octubre,W 43,,Segmentación,,Ejecutado,,SEGMENTACION HFC x2 (DWDM),Diseñado,4-Nov-21,,,,Ejecutado,10-Nov-21,2021,noviembre,W 45,TELQWAY,28-Oct-21,,,1,2,,,,0,0,,,10,11,2021,
2021,552346,METRO PONIENTE,MAIP,ECEN,ECEN10,Q4,,9-Dec-21,2021,diciembre,W 49,2°Q,GO 85,162,Ejecutado,,85MHZ HFC 2Q,Diseñado,14-Dec-21,,,,Ejecutado,03-Jan-22,2022,enero,W 1,TELQWAY,16-Dec-21,,,1,4,REALIZADO,8-Jan-22,,1,12,,,-12,1,2022,
2022,552639,CENTRO,VINA,VINA,VINA219,Q1Q2,,7-Jan-22,2022,enero,W 1,1°Q,GO 85,435,Ejecutado,,85MHZ HFC 2Q,Diseñado,12-Jan-22,,,,Ejecutado,13-Jan-22,2022,enero,W 2,TELQWAY,7-Jan-22,,,1,1,REALIZADO,11-May-22,,0,0,,,1,1,2022,
2022,552654,METRO PONIENTE,MAIP,ECEN,ECEN3,Q4,,14-Jan-22,2022,enero,W 2,1°Q,GO 85,172,Ejecutado,,85MHZ HFC 2Q,Diseñado,19-Jan-22,,,,Ejecutado,21-Jan-22,2022,enero,W 3,TELQWAY,14-Jan-22,,,1,1,REALIZADO,25-Jan-22,,0,1,ECEN003-02,3,1,1,2022,
2022,552640,NORTE,ANTO,ANTO,ANTO20,Q4,,7-Jan-22,2022,enero,W 1,1°Q,GO 85,,Ejecutado,,85MHZ HFC 2Q,Diseñado,11-Jan-22,,,,Ejecutado,21-Jan-22,2022,enero,W 3,TELQWAY,7-Jan-22,,,1,2,REALIZADO,25-Jan-22,,0,0,ANTO020-01,2,1,1,2022,
2021,552383,CENTRO,VINA,VINA,VINA87,Q1,,16-Dec-21,2021,diciembre,W 50,2°Q,GO 85,219,Ejecutado,,85MHZ HFC 2Q,Diseñado,20-Dec-21,,,,Ejecutado,20-Dec-21,2021,diciembre,W 51,TELQWAY,16-Dec-21,,,1,1,REALIZADO,24-Dec-21,,4,6,,,12,12,2021,
2021,552382,METRO PONIENTE,MAIP,ECEN,ECEN6,Q1,,16-Dec-21,2021,diciembre,W 50,2°Q,GO 85,394,Ejecutado,,85MHZ HFC 2Q,Diseñado,17-Dec-21,,,,Ejecutado,22-Dec-21,2021,diciembre,W 51,TELQWAY,16-Dec-21,,,1,1,REALIZADO,23-Dec-21,,4,9,ECEN006-02,2,12,12,2021,
2021,552384,CENTRO,VINA,VALP,VALP247,Q1,,16-Dec-21,2021,diciembre,W 50,,Segmentación FD,254,Ejecutado,,SEGMENTACION FDPA 2X2,Diseñado,17-Dec-21,,,,Ejecutado,27-Dec-21,2021,diciembre,W 52,TELQWAY,16-Dec-21,,,1,2,,,,3,5,,,12,12,2021,
2021,552385,METRO SUR ORIENTE,LFLO,PENA,PENA6,Q4,,16-Dec-21,2021,diciembre,W 50,,Split Node,233,Ejecutado,,SPLIT NODE HFC 2Q,Diseñado,20-Dec-21,,,,Ejecutado,30-Dec-21,2021,diciembre,W 52,TELQWAY,16-Dec-21,,,1,2,,,,2,4,PENA006-04,3,12,12,2021,
2021,552347,METRO SUR ORIENTE,PENA,NUNO,NUNO16,Q3,,9-Dec-21,2021,diciembre,W 49,2°Q,GO 85,144,Ejecutado,,85MHZ HFC 2Q,Diseñado,13-Dec-21,,,,Ejecutado,21-Dec-21,2021,diciembre,W 51,TELQWAY,16-Dec-21,,,1,2,REALIZADO,23-Dec-21,,1,2,,,12,12,2021,
2021,552345,METRO PONIENTE,LACI,SBER,SBER3,Q4,,9-Dec-21,2021,diciembre,W 49,2°Q,GO 85,258,Ejecutado,,85MHZ HFC 2Q,Diseñado,13-Dec-21,,,,Ejecutado,22-Dec-21,2021,diciembre,W 51,TELQWAY,16-Dec-21,,,1,2,REALIZADO,23-Dec-21,,0,0,SBER003-03,2,12,12,2021,
2021,552353,METRO PONIENTE,LACI,ELBO,ELBO43,Q1,,9-Dec-21,2021,diciembre,W 49,,Segmentación FD,240,Ejecutado,,SEGMENTACION FDPA 2X2,Diseñado,15-Dec-21,,,,Ejecutado,23-Dec-21,2021,diciembre,W 51,TELQWAY,10-Dec-21,,,1,2,,,,2,3,ELBO043-02,3,12,12,2021,
2021,552344,METRO PONIENTE,MAIP,PHUR,PHUR27,Q1,7N,9-Dec-21,2021,diciembre,W 49,,GO 85,360,Ejecutado,,85MHZ FDPA,Diseñado,14-Dec-21,,,,Ejecutado,24-Dec-21,2021,diciembre,W 51,TELQWAY,10-Dec-21,,"22-12 Suspendido por Corte de Fibra Óptica, se adjunta Observación FEN:",1,3,REALIZADO,27-Dec-21,,10,16,,,12,12,2021,
2021,552343,METRO PONIENTE,MAIP,MAIP,MAIP27,Q1,,9-Dec-21,2021,diciembre,W 49,,GO 85,220,Ejecutado,,85MHZ HFC 2Q,Diseñado,14-Dec-21,,,,Ejecutado,27-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,,1,3,REALIZADO,29-Dec-21,,0,1,,,12,12,2021,
2021,552349,METRO PONIENTE,INDE,RECO,RECO30,Q1,,9-Dec-21,2021,diciembre,W 49,,Segmentación,217,Ejecutado,,SEGMENTACION HFC x2,Diseñado,15-Dec-21,,,,Ejecutado,28-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,,1,3,,,,0,0,,,12,12,2021,
2021,552348,METRO PONIENTE,INDE,SACE,SACE37,Q3,,9-Dec-21,2021,diciembre,W 49,,Segmentación,300,Ejecutado,,SEGMENTACION HFC x4,Diseñado,14-Dec-21,,,,Ejecutado,28-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,,1,3,,,,0,0,,,12,12,2021,
2021,552350,CENTRO,VINA,VINA,VINA206,Q1,,9-Dec-21,2021,diciembre,W 49,,Segmentación,151,Ejecutado,,SEGMENTACION HFC x4 (DWDM),Diseñado,14-Dec-21,,,,Ejecutado,28-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,,1,3,,,,0,0,,,12,12,2021,
2021,552351,METRO SUR ORIENTE,LACI,SJOA,SJOA17,Q1,,9-Dec-21,2021,diciembre,W 49,,Segmentación FD,346,Ejecutado,,SEGMENTACION FDPA 2X2,Diseñado,14-Dec-21,,,,Ejecutado,29-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,"27-12 Suspendido / Se debe programar Jornada Diurna debido a temas de seguridad en Sector
Zona Roja ( Sector La Legua)",1,3,,,,4,4,,,12,12,2021,
2021,552352,METRO PONIENTE,LACI,SMGL,SMGL30,Q1,,9-Dec-21,2021,diciembre,W 49,,Segmentación FD,310,Ejecutado,,SEGMENTACION FDPA 2X2,Diseñado,15-Dec-21,,,,Ejecutado,29-Dec-21,2021,diciembre,W 52,TELQWAY,10-Dec-21,,"24DIC-Suspendido /  Se  escala a diseño debido a incongruencia de lo diseñado entre Planta Interna y Externa. 20dic-Suspendido / Problemas de niveles Docsis Quedan fuera de Rango al combinar, se solicitara rediseño. ",1,3,,,,0,1,,,12,12,2021,
2022,552641,NORTE,ANTO,ANTO,ANTO23,Q1,,7-Jan-22,2022,enero,W 1,,Split Node,342,Ejecutado,,SPLIT NODE HFC 2Q,Diseñado,11-Jan-22,,,,Ejecutado,25-Jan-22,2022,enero,W 4,TELQWAY,7-Jan-22,,,1,3,,,,0,0,ANTO023-01,2,1,1,2022,
2021,552242,METRO SUR ORIENTE,LACI,SJOA,SJOA1,Q3,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,124,Ejecutado,,85MHZ HFC 2Q,Diseñado,8-Dec-21,,,,Ejecutado,06-Dec-21,2021,diciembre,W 49,SYS,3-Dec-21,,,1,1,REALIZADO,8-Jan-22,Cruzados,2,6,,,12,12,2021,
2021,552244,METRO SUR ORIENTE,LFLO,PENA,PENA1,Q1,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,387,Ejecutado,,85MHZ HFC 2Q,Diseñado,9-Dec-21,,,,Ejecutado,07-Dec-21,2021,diciembre,W 49,SYS,3-Dec-21,,,1,1,REALIZADO,10-Dec-21,,0,1,PENA001-02,2,12,12,2021,
2021,552247,METRO SUR ORIENTE,LFLO,PENA,PENA33,Q3,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,226,Ejecutado,,85MHZ HFC 2Q,Diseñado,9-Dec-21,,,,Ejecutado,07-Dec-21,2021,diciembre,W 49,SYS,3-Dec-21,,,1,1,REALIZADO,21-Dec-21,Cruzados,0,1,,,12,12,2021,
2021,552246,METRO PONIENTE,MAIP,MAIP,MAIP31,Q1,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,226,Ejecutado,,85MHZ HFC 2Q,Diseñado,8-Dec-21,,,,Ejecutado,09-Dec-21,2021,diciembre,W 49,SYS,3-Dec-21,,,1,1,REALIZADO,15-Dec-21,,0,1,,,12,12,2021,
2021,552245,SUR,RANC,RANC,RANC21,Q1,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,188,Ejecutado,,85MHZ HFC 2Q,Diseñado,8-Dec-21,,,,Ejecutado,10-Dec-21,2021,diciembre,W 49,SYS,3-Dec-21,,,1,1,REALIZADO,15-Dec-21,,0,0,,,12,12,2021,
2021,552240,METRO SUR ORIENTE,LFLO,LFLO,LFLO35,Q3,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,130,Ejecutado,,85MHZ HFC 2Q,Diseñado,9-Dec-21,,,,Ejecutado,13-Dec-21,2021,diciembre,W 50,SYS,3-Dec-21,,,1,2,REALIZADO,16-Dec-21,,8,15,,,12,12,2021,
2021,552243,METRO PONIENTE,INDE,SACE,SACE29,Q4,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,177,Ejecutado,,85MHZ HFC 2Q,Diseñado,9-Dec-21,,,,Ejecutado,13-Dec-21,2021,diciembre,W 50,SYS,3-Dec-21,,,1,2,REALIZADO,8-Jan-22,,0,0,,,12,12,2021,
2021,552248,CENTRO,VINA,VALE,VALE81,Q1,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,141,Ejecutado,,85MHZ HFC 2Q,Diseñado,8-Dec-21,,,,Ejecutado,14-Dec-21,2021,diciembre,W 50,SYS,3-Dec-21,,,1,2,REALIZADO,16-Dec-21,,0,0,VALE081-02,1,12,12,2021,
2021,552252,METRO PONIENTE,LACI,ELBO,ELBO3,Q1,,3-Dec-21,2021,diciembre,W 48,,Segmentación FD,229,Ejecutado,,SEGMENTACION FDPA 2X2,Diseñado,7-Dec-21,,,,Ejecutado,15-Dec-21,2021,diciembre,W 50,TELQWAY,3-Dec-21,,,1,2,,,,9,24,ELBO003-01,2,12,12,2021,
2021,552241,METRO PONIENTE,INDE,LAMP,LAMP6,Q2,,3-Dec-21,2021,diciembre,W 48,2°Q,GO 85,255,Ejecutado,,85MHZ HFC 2Q,Diseñado,9-Dec-21,,,,Ejecutado,16-Dec-21,2021,diciembre,W 50,SYS,3-Dec-21,,,1,2,REALIZADO,13-Jan-22,,0,0,,,12,12,2021,
2021,552239,METRO SUR ORIENTE,PENA,NUNO,NUNO74,Q1,,3-Dec-21,2021,diciembre,W 48,,GO 85,447,Ejecutado,,85MHZ HFC 2Q,Diseñado,8-Dec-21,,,,Ejecutado,21-Dec-21,2021,diciembre,W 51,TELQWAY,3-Dec-21,,,1,3,REALIZADO,31-Dec-21,,0,0,,,12,12,2021,
